WCRNumber,mean_ci_upper,pump_loc,mean_ci_lower,TotalCompletedDepth,tot_depth_msh,gwl_2019,gsp_name,high_10,lowering_cost_high_10,deepening_cost_high_10,low_10,lowering_cost_low_10,deepening_cost_low_10,total_cost_high_10,total_cost_low_10,high_20,lowering_cost_high_20,deepening_cost_high_20,low_20,lowering_cost_low_20,deepening_cost_low_20,total_cost_high_20,total_cost_low_20,high_30,lowering_cost_high_30,deepening_cost_high_30,low_30,lowering_cost_low_30,deepening_cost_low_30,total_cost_high_30,total_cost_low_30,high_40,lowering_cost_high_40,deepening_cost_high_40,low_40,lowering_cost_low_40,deepening_cost_low_40,total_cost_high_40,total_cost_low_40,high_50,lowering_cost_high_50,deepening_cost_high_50,low_50,lowering_cost_low_50,deepening_cost_low_50,total_cost_high_50,total_cost_low_50,high_60,lowering_cost_high_60,deepening_cost_high_60,low_60,lowering_cost_low_60,deepening_cost_low_60,total_cost_high_60,total_cost_low_60,high_70,lowering_cost_high_70,deepening_cost_high_70,low_70,lowering_cost_low_70,deepening_cost_low_70,total_cost_high_70,total_cost_low_70,high_80,lowering_cost_high_80,deepening_cost_high_80,low_80,lowering_cost_low_80,deepening_cost_low_80,total_cost_high_80,total_cost_low_80,high_90,lowering_cost_high_90,deepening_cost_high_90,low_90,lowering_cost_low_90,deepening_cost_low_90,total_cost_high_90,total_cost_low_90,high_100,lowering_cost_high_100,deepening_cost_high_100,low_100,lowering_cost_low_100,deepening_cost_low_100,total_cost_high_100,total_cost_low_100,high_110,lowering_cost_high_110,deepening_cost_high_110,low_110,lowering_cost_low_110,deepening_cost_low_110,total_cost_high_110,total_cost_low_110,high_120,lowering_cost_high_120,deepening_cost_high_120,low_120,lowering_cost_low_120,deepening_cost_low_120,total_cost_high_120,total_cost_low_120,high_130,lowering_cost_high_130,deepening_cost_high_130,low_130,lowering_cost_low_130,deepening_cost_low_130,total_cost_high_130,total_cost_low_130,high_140,lowering_cost_high_140,deepening_cost_high_140,low_140,lowering_cost_low_140,deepening_cost_low_140,total_cost_high_140,total_cost_low_140,high_150,lowering_cost_high_150,deepening_cost_high_150,low_150,lowering_cost_low_150,deepening_cost_low_150,total_cost_high_150,total_cost_low_150,high_160,lowering_cost_high_160,deepening_cost_high_160,low_160,lowering_cost_low_160,deepening_cost_low_160,total_cost_high_160,total_cost_low_160,high_170,lowering_cost_high_170,deepening_cost_high_170,low_170,lowering_cost_low_170,deepening_cost_low_170,total_cost_high_170,total_cost_low_170,high_180,lowering_cost_high_180,deepening_cost_high_180,low_180,lowering_cost_low_180,deepening_cost_low_180,total_cost_high_180,total_cost_low_180,high_190,lowering_cost_high_190,deepening_cost_high_190,low_190,lowering_cost_low_190,deepening_cost_low_190,total_cost_high_190,total_cost_low_190,high_200,lowering_cost_high_200,deepening_cost_high_200,low_200,lowering_cost_low_200,deepening_cost_low_200,total_cost_high_200,total_cost_low_200,high_210,lowering_cost_high_210,deepening_cost_high_210,low_210,lowering_cost_low_210,deepening_cost_low_210,total_cost_high_210,total_cost_low_210,high_220,lowering_cost_high_220,deepening_cost_high_220,low_220,lowering_cost_low_220,deepening_cost_low_220,total_cost_high_220,total_cost_low_220,high_230,lowering_cost_high_230,deepening_cost_high_230,low_230,lowering_cost_low_230,deepening_cost_low_230,total_cost_high_230,total_cost_low_230,high_240,lowering_cost_high_240,deepening_cost_high_240,low_240,lowering_cost_low_240,deepening_cost_low_240,total_cost_high_240,total_cost_low_240,high_250,lowering_cost_high_250,deepening_cost_high_250,low_250,lowering_cost_low_250,deepening_cost_low_250,total_cost_high_250,total_cost_low_250,high_260,lowering_cost_high_260,deepening_cost_high_260,low_260,lowering_cost_low_260,deepening_cost_low_260,total_cost_high_260,total_cost_low_260,high_270,lowering_cost_high_270,deepening_cost_high_270,low_270,lowering_cost_low_270,deepening_cost_low_270,total_cost_high_270,total_cost_low_270,high_280,lowering_cost_high_280,deepening_cost_high_280,low_280,lowering_cost_low_280,deepening_cost_low_280,total_cost_high_280,total_cost_low_280,high_290,lowering_cost_high_290,deepening_cost_high_290,low_290,lowering_cost_low_290,deepening_cost_low_290,total_cost_high_290,total_cost_low_290,high_300,lowering_cost_high_300,deepening_cost_high_300,low_300,lowering_cost_low_300,deepening_cost_low_300,total_cost_high_300,total_cost_low_300,mt_ft_bls,high_mt,lowering_cost_high_mt,deepening_cost_high_mt,low_mt,lowering_cost_low_mt,deepening_cost_low_mt,total_cost_high_mt,total_cost_low_mt
WCR0008999,467.5283543003524,465.5,463.4716456996476,840,810,69.26634696623962,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,174.27906285246291,active,0,0,active,0,0,0,0
WCR0009215,112.99388119061952,110.98308940480011,108.9722976189807,205,175,25.221777925841252,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,6602.77023810193,0,failing,6200.611880938048,0,6602.77023810193,6200.611880938048,failing,6602.77023810193,0,failing,6200.611880938048,0,6602.77023810193,6200.611880938048,failing,6602.77023810193,0,failing,6200.611880938048,0,6602.77023810193,6200.611880938048,failing,6602.77023810193,0,failing,6200.611880938048,0,6602.77023810193,6200.611880938048,failing,6602.77023810193,0,failing,6200.611880938048,0,6602.77023810193,6200.611880938048,failing,6602.77023810193,0,failing,6200.611880938048,0,6602.77023810193,6200.611880938048,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,failing,6602.77023810193,11500,failing,6200.611880938048,11500,18102.77023810193,17700.61188093805,128.5973120217536,failing,6602.77023810193,0,failing,6200.611880938048,0,6602.77023810193,6200.611880938048
WCR0015217,356.21271746721624,354.1886491337548,352.1645808002933,930,900,103.38566926487049,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,54783.54191997066,0,active,0,0,54783.54191997066,0,failing,54783.54191997066,0,failing,54378.72825327838,0,54783.54191997066,54378.72825327838,failing,54783.54191997066,0,failing,54378.72825327838,0,54783.54191997066,54378.72825327838,failing,54783.54191997066,0,failing,54378.72825327838,0,54783.54191997066,54378.72825327838,failing,54783.54191997066,0,failing,54378.72825327838,0,54783.54191997066,54378.72825327838,failing,54783.54191997066,0,failing,54378.72825327838,0,54783.54191997066,54378.72825327838,239.83559042781047,active,0,0,active,0,0,0,0
WCR0018926,155.9132374352224,153.8991676188305,151.88509780243857,280,250,25.221777925841252,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,9811.490219756144,0,active,0,0,9811.490219756144,0,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,0,failing,9408.676256477758,0,9811.490219756144,9408.676256477758,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,failing,9811.490219756144,11500,failing,9408.676256477758,11500,21311.490219756146,20908.67625647776,128.5973120217536,active,0,0,active,0,0,0,0
WCR0020730,137.01149545425648,135,132.98850454574352,220,190,25.221777925841252,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,5701.149545425647,0,active,0,0,5701.149545425647,0,failing,5701.149545425647,0,failing,5298.850454574353,0,5701.149545425647,5298.850454574353,failing,5701.149545425647,0,failing,5298.850454574353,0,5701.149545425647,5298.850454574353,failing,5701.149545425647,0,failing,5298.850454574353,0,5701.149545425647,5298.850454574353,failing,5701.149545425647,0,failing,5298.850454574353,0,5701.149545425647,5298.850454574353,failing,5701.149545425647,0,failing,5298.850454574353,0,5701.149545425647,5298.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,failing,5701.149545425647,11500,failing,5298.850454574353,11500,17201.149545425647,16798.850454574353,128.5973120217536,active,0,0,active,0,0,0,0
WCR0050486,275.2113795009727,273.1906368466384,271.1698941923041,484,454,142.77648199395793,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,18283.010580769587,0,active,0,0,18283.010580769587,0,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,failing,18283.010580769587,0,failing,17878.862049902727,0,18283.010580769587,17878.862049902727,229.6248608460673,active,0,0,active,0,0,0,0
WCR0061573,586.7193443746079,584.6884400204405,582.657535666273,1000,970,182.9615381968103,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,280.64433767831275,active,0,0,active,0,0,0,0
WCR0091029,110.01149545425648,108,105.98850454574352,220,190,75.69150352563058,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,failing,8401.149545425647,11500,failing,7998.850454574353,11500,19901.149545425647,19498.850454574353,128.5973120217536,failing,8401.149545425647,0,failing,7998.850454574353,0,8401.149545425647,7998.850454574353
WCR0102922,208.01830303620665,206,203.98169696379335,400,370,157.7550662164154,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16601.830303620663,0,active,0,0,16601.830303620663,0,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,failing,16601.830303620663,11500,failing,16198.169696379335,11500,28101.830303620663,27698.169696379337,340.37466316884934,failing,16601.830303620663,0,failing,16198.169696379335,0,16601.830303620663,16198.169696379335
WCR0140775,137.01195049705697,135,132.98804950294303,230,200,25.221777925841252,Northern Central (DM),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,6701.195049705697,0,active,0,0,6701.195049705697,0,failing,6701.195049705697,0,failing,6298.804950294303,0,6701.195049705697,6298.804950294303,failing,6701.195049705697,0,failing,6298.804950294303,0,6701.195049705697,6298.804950294303,failing,6701.195049705697,0,failing,6298.804950294303,0,6701.195049705697,6298.804950294303,failing,6701.195049705697,0,failing,6298.804950294303,0,6701.195049705697,6298.804950294303,failing,6701.195049705697,0,failing,6298.804950294303,0,6701.195049705697,6298.804950294303,failing,6701.195049705697,0,failing,6298.804950294303,0,6701.195049705697,6298.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,failing,6701.195049705697,11500,failing,6298.804950294303,11500,18201.195049705697,17798.804950294303,128.5973120217536,active,0,0,active,0,0,0,0
