scen,failn_high,failn_low,failp_high,failp_low,cost_high,cost_low
r_fall2020_2013one,3106,1988,0.1132460713895067,0.07248331935683815,20857308.79595732,13809129.219269319
r_fall2020_2014one,3323,2147,0.12115798300944325,0.07828052648849673,21919733.33119808,14101751.279773569
r_fall2020_2014two,4878,3639,0.17785393954861997,0.13267947642833705,33306114.62579999,24552230.503229544
r_fall2020_2015one,2532,1301,0.09231778903999709,0.04743500929740766,16009300.209409945,8371690.139031195
r_fall2020_2015two,4253,3100,0.15506617566631423,0.11302730885623656,28949325.394328102,20993932.247334883
r_fall2020_2016one,2911,1643,0.10613628905822729,0.059904473693805374,16882015.440590225,8812412.59173479
r_fall2020_2016two,2513,1360,0.09162504101797499,0.04958617420789733,16184169.32441181,9239969.142638735
