wcr_number,mean_ci_upper,pump_loc,mean_ci_lower,tot_completed_depth,gwl_2019,gsp_name,x,y
WCR1989-004138,272.11057007501967,270.092926919426,268.0752837638324,403,68.1271113739742,Eastern San Joaquin,-120.88129999999998,38.18498000000001
WCR1989-004141,200.86561344586642,198.85103715558003,196.83646086529365,303,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR1989-004144,198.75245286162365,196.73797696571287,194.7235010698021,300,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1989-005198,88.80764990581724,86.79927272533098,84.79089554484472,140,68.1271113739742,Eastern San Joaquin,-120.89939,38.184819999999995
WCR1989-005199,145.09337955229955,143.08166909572526,141.06995863915097,223,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1989-005215,129.31044891263932,127.29963501144577,125.28882111025223,200,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1989-005280,156.83710770245818,154.82475491249656,152.81240212253493,240,81.50024538071347,Eastern San Joaquin,-120.91781,38.15579999999999
WCR1989-005404,102.18881028328383,100.17961501419845,98.17041974511307,160,68.1271113739742,Eastern San Joaquin,-120.88129999999998,38.18498000000001
WCR1989-005409,198.75245286162365,196.73797696571287,194.7235010698021,300,81.50024538071347,Eastern San Joaquin,-120.90006,38.15589999999998
WCR1989-008403,198.75245286162365,196.73797696571287,194.7235010698021,300,113.67071197923724,Eastern San Joaquin,-120.93588999999999,38.126519999999985
WCR1989-008405,255.59523875797163,253.57825616431109,251.56127357065054,380,81.50024538071347,Eastern San Joaquin,-120.90001999999998,38.170579999999994
WCR1989-008411,269.952371614091,267.9348132319552,265.9172548498194,400,68.1271113739742,Eastern San Joaquin,-120.88129999999998,38.18498000000001
WCR1989-008416,155.45222444079425,153.43994628792154,151.42766813504883,238,61.631586829720405,Eastern San Joaquin,-120.86289,38.18546
WCR1989-008753,234.1645781831667,232.14849570978063,230.13241323639457,350,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1989-008913,234.1645781831667,232.14849570978063,230.13241323639457,350,131.2616189910606,Eastern San Joaquin,-120.93594000000002,38.11199
WCR1989-008914,198.75245286162365,196.73797696571287,194.7235010698021,300,115.34835170264701,Eastern San Joaquin,-120.9177,38.09752
WCR1989-009081,327.88819456088174,325.8685053372952,323.8488161137086,480,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
